VendaID,Data da Venda,ClienteID,VendedorID,Produto,Quantidade,Preço Unitário,Forma de Pagamento,Status da Venda,Região
76,2024-11-27,1407,50,Pen Drive 64GB,3,1154.68,Dinheiro,Pago,PE
77,2025-08-15,1539,43,Mouse Logitech,2,3867.77,Boleto,Cancelado,MT
78,2024-05-30,1192,50,Mouse Logitech,16,1809.54,Transferência,Pago,MA
79,2025-01-19,1792,33,Pen Drive 64GB,9,3724.15,Dinheiro,Cancelado,PB
80,2023-12-08,1082,5,"Monitor LG 24""",17,3625.82,Transferência,Pendente,MA
81,2023-10-01,136,1,Pen Drive 64GB,2,3786.28,Boleto,Pago,MG
82,2024-06-06,312,10,Cadeira Gamer,14,2606.43,Dinheiro,Cancelado,PI
83,2024-08-29,437,26,Impressora HP,2,1047.83,Cartão de Crédito,Pendente,
84,2024-03-01,1173,8,HD Externo 1TB,13,887.45,Cartão de Crédito,Pendente,RS
85,2024-11-28,1007,16,Pen Drive 64GB,18,1414.34,Cartão de Crédito,Cancelado,AL
86,2025-08-21,1708,34,Cadeira Gamer,13,887.09,Cartão de Crédito,Pago,DF
87,2024-05-12,226,1,HD Externo 1TB,6,3590.76,Transferência,Cancelado,GO
88,2025-03-08,1070,9,Smartphone Samsung,4,1709.95,PIX,Cancelado,RS
89,2024-03-13,684,12,Headset HyperX,11,4337.68,PIX,Cancelado,PI
90,2025-08-01,1687,18,Teclado Mecânico,5,1028.14,Boleto,Pago,MG
91,2025-06-21,1345,17,"Monitor LG 24""",13,841.5,PIX,Pendente,PR
92,2024-04-25,1905,3,Pen Drive 64GB,5,547.03,Transferência,Pendente,MG
93,2024-04-03,458,39,Pen Drive 64GB,9,1610.34,PIX,Pago,RN
94,2024-05-20,1776,5,Impressora HP,11,2516.31,Boleto,Pendente,PA
95,2023-10-24,175,25,Impressora HP,15,2171.03,Cartão de Crédito,Pago,MG
96,2024-07-01,1590,40,Pen Drive 64GB,8,4855.0,Cartão de Crédito,Cancelado,PR
97,2024-07-17,1572,6,Notebook Dell,5,1463.03,PIX,Pago,
98,2025-03-11,486,50,"Monitor LG 24""",17,434.45,Dinheiro,Pendente,AL
99,2025-03-30,1044,49,Pen Drive 64GB,2,745.77,PIX,Pago,MS
100,2024-04-15,45,47,Pen Drive 64GB,7,2757.14,Transferência,Pago,MT
101,2025-06-04,1370,23,"Monitor LG 24""",14,1375.3,PIX,Cancelado,BA
102,2025-07-06,891,20,Teclado Mecânico,9,3624.16,PIX,Pendente,RO
103,2024-04-03,596,1,Pen Drive 64GB,12,1800.59,Cartão de Crédito,Pendente,AL
104,2025-04-15,645,30,HD Externo 1TB,11,920.33,Boleto,Pago,CE
105,2025-02-18,859,41,Teclado Mecânico,19,2507.04,Dinheiro,Pago,RS
106,2024-04-24,415,35,Mouse Logitech,10,1015.73,Boleto,Pendente,AC
107,2024-05-28,1883,1,Impressora HP,18,2400.19,PIX,Pendente,MT
108,2024-06-23,705,50,Smartphone Samsung,17,4496.4,Dinheiro,Pendente,
109,2024-11-20,636,6,Teclado Mecânico,9,3730.04,Cartão de Crédito,Pendente,SE
110,2025-04-24,1973,44,Cadeira Gamer,18,3824.94,Transferência,Cancelado,PR
111,2025-06-09,995,34,Pen Drive 64GB,10,2369.27,Dinheiro,Cancelado,AC
112,2025-07-24,668,44,Cadeira Gamer,1,4436.73,Transferência,Pendente,RR
113,2025-02-08,937,4,"Monitor LG 24""",8,2689.84,Cartão de Crédito,Pendente,CE
114,2023-10-23,684,41,Impressora HP,15,3663.01,Boleto,Pendente,MG
115,2024-04-05,353,37,Pen Drive 64GB,6,3588.35,Dinheiro,Pago,
116,2024-05-06,549,48,Impressora HP,11,4924.1,Dinheiro,Pendente,RS
117,2024-11-14,387,39,Impressora HP,4,1803.44,PIX,Pago,GO
118,2024-10-16,1419,24,Mouse Logitech,14,3952.16,Transferência,Pago,GO
119,2023-10-18,1665,21,Smartphone Samsung,9,2347.25,Cartão de Crédito,Cancelado,BA
120,2024-03-21,480,21,Mouse Logitech,19,2544.17,Dinheiro,Pago,BA
121,2023-09-10,754,31,Notebook Dell,7,1133.6,Cartão de Crédito,Pago,AP
122,2023-12-31,128,6,Smartphone Samsung,14,4469.71,Transferência,Pago,MS
123,2023-11-10,903,21,Pen Drive 64GB,10,756.71,Transferência,Pago,SE
124,2024-07-06,1747,38,HD Externo 1TB,19,50.42,PIX,Pendente,GO
125,2025-08-11,1942,36,Teclado Mecânico,11,673.25,Transferência,Pago,PB
126,2025-06-22,39,40,Impressora HP,3,4438.05,Cartão de Crédito,Cancelado,PB
127,2025-03-28,1359,32,Notebook Dell,11,4202.4,Dinheiro,Pendente,SP
128,2024-04-21,1639,14,Pen Drive 64GB,3,2288.91,Transferência,Pendente,PR
129,2025-04-19,145,7,Headset HyperX,4,2659.71,Boleto,Pendente,RS
130,2023-11-29,1267,2,Mouse Logitech,5,3295.45,Cartão de Crédito,Pendente,RN
131,2024-03-27,1364,10,"Monitor LG 24""",8,4034.87,Cartão de Crédito,Pendente,AC
132,2025-05-26,1913,10,,3,2221.08,Boleto,Pago,MT
133,2024-01-23,726,15,"Monitor LG 24""",15,3198.24,Boleto,Pendente,PI
134,2025-08-02,1385,28,Teclado Mecânico,3,3610.49,Boleto,Pendente,ES
135,2025-05-16,1708,43,Cadeira Gamer,2,1006.53,Dinheiro,Pendente,SP
136,2025-04-17,417,38,Headset HyperX,15,1734.29,Transferência,Pendente,MT
137,2024-02-25,1602,25,Pen Drive 64GB,13,3485.96,PIX,Pendente,SE
138,2025-08-14,1158,34,Impressora HP,18,4817.71,Dinheiro,Pago,RR
139,2023-11-30,1758,14,Cadeira Gamer,18,3888.17,Boleto,Pago,RN
140,2025-02-07,93,46,Mouse Logitech,9,2256.75,Transferência,Pago,RJ
141,2025-05-04,590,35,Mouse Logitech,2,3367.95,PIX,Pago,BA
142,2024-07-21,1994,1,Mouse Logitech,16,1976.75,Dinheiro,Pago,PA
143,2024-05-04,1189,26,Impressora HP,3,2445.67,Boleto,Pago,AM
144,2023-12-02,991,3,Notebook Dell,18,4180.32,Dinheiro,Cancelado,MS
145,2025-04-24,829,10,Cadeira Gamer,6,4945.37,Cartão de Crédito,Pago,SE
146,2024-04-23,1050,45,Mouse Logitech,1,4855.82,Transferência,Pago,PE
147,2023-09-18,1334,24,Pen Drive 64GB,10,782.52,PIX,Cancelado,GO
148,2024-11-22,1038,18,Impressora HP,11,4940.68,Dinheiro,Pago,PR
149,2024-04-13,1497,33,Teclado Mecânico,20,3922.47,PIX,Pendente,RN
150,2023-10-18,166,44,Notebook Dell,18,3356.31,Cartão de Crédito,Cancelado,MS
151,2023-11-11,1428,23,,12,1754.15,Transferência,Cancelado,MT
152,2025-01-06,659,36,Smartphone Samsung,6,2470.81,Transferência,Pago,RS
153,2024-03-26,165,18,HD Externo 1TB,9,4596.19,Boleto,Pago,SC
154,2025-04-25,858,11,Cadeira Gamer,5,104.01,PIX,Cancelado,GO
155,2025-03-18,105,30,Headset HyperX,6,2413.35,Dinheiro,Cancelado,SE
156,2024-04-14,1565,12,Cadeira Gamer,17,4563.58,PIX,Pago,RO
157,2025-02-02,725,5,Headset HyperX,19,2797.03,Transferência,Cancelado,CE
158,2024-07-26,836,27,Notebook Dell,1,4227.53,Boleto,Pendente,ES
159,2024-09-11,760,23,Smartphone Samsung,12,4179.3,PIX,Cancelado,PB
160,2025-02-14,1356,10,Pen Drive 64GB,6,795.99,PIX,Pendente,TO
161,2024-09-06,1416,29,Cadeira Gamer,10,3234.43,Transferência,Cancelado,PI
162,2024-04-08,167,16,Smartphone Samsung,10,811.24,Cartão de Crédito,Cancelado,TO
163,2024-06-03,1799,49,Teclado Mecânico,8,1034.49,PIX,Pago,
164,2023-09-10,1505,33,Pen Drive 64GB,4,1586.42,Transferência,Cancelado,AC
165,2025-01-17,1820,27,Teclado Mecânico,18,180.82,Transferência,Cancelado,CE
166,2024-06-03,1190,20,"Monitor LG 24""",7,206.29,Dinheiro,Pendente,MA
167,2023-11-29,1440,38,"Monitor LG 24""",3,3640.53,Dinheiro,Pago,SE
168,2024-10-27,1873,12,Teclado Mecânico,9,3407.51,Dinheiro,Pago,AM
169,2024-04-15,1606,10,HD Externo 1TB,3,4433.79,Dinheiro,Pendente,SP
170,2024-12-11,334,28,"Monitor LG 24""",8,388.79,Transferência,Pago,RJ
171,2024-02-11,582,18,Impressora HP,10,3265.75,PIX,Pago,GO
172,2024-07-24,957,8,Mouse Logitech,10,1697.86,Boleto,Cancelado,PB
173,2024-10-31,666,31,HD Externo 1TB,7,2604.5,Boleto,Pendente,
174,2024-01-09,676,16,Teclado Mecânico,12,2924.58,PIX,Cancelado,PI
175,2025-05-17,574,19,Headset HyperX,5,101.15,Boleto,Cancelado,MG
176,2025-08-03,775,2,Headset HyperX,14,2484.89,Boleto,Pendente,PB
177,2024-01-28,208,35,Pen Drive 64GB,4,3582.49,Dinheiro,Pago,PB
178,2024-05-10,1243,37,Notebook Dell,14,3282.13,PIX,Cancelado,PE
179,2024-12-31,1047,21,Mouse Logitech,20,3738.14,Cartão de Crédito,Cancelado,MG
180,2024-03-24,258,9,Pen Drive 64GB,20,4634.28,PIX,Pago,SP
181,2025-01-05,150,22,Notebook Dell,15,1847.57,Cartão de Crédito,Cancelado,PA
182,2024-02-16,1808,38,HD Externo 1TB,20,3210.42,Transferência,Pendente,RR
183,2024-10-13,423,16,Smartphone Samsung,4,4704.64,PIX,Pago,RR
184,2024-03-29,1481,29,Cadeira Gamer,8,449.04,Dinheiro,Pendente,RR
185,2025-08-09,926,17,Pen Drive 64GB,11,4394.12,PIX,Pendente,GO
186,2025-08-31,1432,26,Smartphone Samsung,3,3975.36,Boleto,Pendente,SP
187,2025-02-18,615,31,Cadeira Gamer,12,1075.79,PIX,Pago,PR
188,2024-10-04,1775,1,Mouse Logitech,3,3960.13,Boleto,Pendente,PE
189,2025-07-25,294,21,Mouse Logitech,11,703.71,Cartão de Crédito,Pendente,RJ
190,2024-03-09,1193,39,Teclado Mecânico,8,3000.27,Dinheiro,Pago,TO
191,2024-09-25,1564,33,Cadeira Gamer,4,2702.37,Boleto,Cancelado,RS
192,2024-12-04,104,3,Teclado Mecânico,13,3668.42,PIX,Pendente,AP
193,2025-08-07,1857,47,HD Externo 1TB,7,3535.19,Cartão de Crédito,Pago,SP
194,2024-11-14,1212,42,Cadeira Gamer,6,3890.34,Dinheiro,Cancelado,MS
195,2023-11-23,1942,41,Pen Drive 64GB,6,1358.79,Cartão de Crédito,Pendente,BA
196,2025-04-28,515,18,Smartphone Samsung,11,1198.42,Boleto,Cancelado,RR
197,2024-02-18,1469,21,Smartphone Samsung,14,1864.95,Dinheiro,Pendente,MS
198,2024-05-10,407,10,Cadeira Gamer,8,229.42,PIX,Pendente,TO
199,2024-09-15,787,28,Cadeira Gamer,19,4410.68,Cartão de Crédito,Pendente,SP
200,2025-06-24,391,13,Pen Drive 64GB,15,1225.6,PIX,Cancelado,DF
201,2024-09-30,755,23,Notebook Dell,5,567.03,Boleto,Pago,PA
202,2024-06-28,1558,6,HD Externo 1TB,11,3662.16,Dinheiro,Cancelado,SP
203,2023-09-16,366,24,Impressora HP,20,3661.31,Cartão de Crédito,Pendente,SC
204,2024-09-27,1452,2,Headset HyperX,20,3108.36,Cartão de Crédito,Cancelado,MG
205,2024-02-29,1489,18,"Monitor LG 24""",19,1232.09,Transferência,Cancelado,MS
206,2024-07-27,1634,35,Teclado Mecânico,17,4281.25,Transferência,Cancelado,GO
207,2025-01-23,954,19,"Monitor LG 24""",12,4333.19,Boleto,Cancelado,AL
208,2024-02-02,724,9,"Monitor LG 24""",5,3128.14,Cartão de Crédito,Cancelado,AL
209,2025-04-28,384,36,Headset HyperX,12,150.5,Dinheiro,Cancelado,
210,2024-07-13,678,47,HD Externo 1TB,9,2486.94,Transferência,Pendente,PB
211,2024-09-16,253,6,Pen Drive 64GB,11,2193.19,Cartão de Crédito,Pendente,MS
212,2024-03-19,349,7,Cadeira Gamer,17,3505.83,Cartão de Crédito,Cancelado,CE
213,2024-06-07,1236,25,Smartphone Samsung,13,2746.6,PIX,Cancelado,RS
214,2024-05-14,544,45,Smartphone Samsung,14,3872.94,Dinheiro,Cancelado,MG
215,2023-10-28,1045,34,Pen Drive 64GB,9,2842.57,Transferência,Pendente,
216,2025-06-28,1181,33,Pen Drive 64GB,20,755.65,Dinheiro,Pendente,AL
217,2023-12-17,1321,22,Impressora HP,12,1310.09,Transferência,Pendente,MT
218,2025-02-23,434,17,Teclado Mecânico,1,632.42,Transferência,Pago,PR
219,2024-11-12,153,26,Smartphone Samsung,12,779.3,Boleto,Pago,PI
220,2023-11-25,571,43,Teclado Mecânico,1,1036.02,Dinheiro,Pendente,PR
221,2024-03-19,199,26,Teclado Mecânico,9,2402.8,PIX,Pago,AP
222,2024-06-26,1874,15,,9,334.0,Dinheiro,Cancelado,MG
223,2024-03-30,667,6,Mouse Logitech,18,3540.13,Boleto,Pago,
224,2024-08-20,1188,23,Headset HyperX,20,3959.49,Transferência,Cancelado,CE
225,2024-12-10,233,35,Smartphone Samsung,13,2445.38,Dinheiro,Cancelado,MT
226,2024-12-15,1933,31,Cadeira Gamer,3,3159.36,Transferência,Cancelado,RN
227,2024-04-02,1521,49,Mouse Logitech,15,693.56,PIX,Pendente,PR
228,2025-07-20,318,49,Teclado Mecânico,2,2503.82,Boleto,Cancelado,GO
229,2023-11-27,392,12,Impressora HP,7,195.39,Cartão de Crédito,Pago,CE
230,2025-06-28,1476,27,Teclado Mecânico,2,3167.73,Dinheiro,Cancelado,AL
231,2025-08-02,1130,25,Smartphone Samsung,19,3572.13,Cartão de Crédito,Pago,RJ
232,2024-08-12,1205,42,Teclado Mecânico,19,460.11,Boleto,Pago,AP
233,2024-05-13,1803,7,Cadeira Gamer,16,383.91,PIX,Cancelado,RN
234,2025-06-07,957,26,Pen Drive 64GB,3,3553.42,Dinheiro,Pago,RR
235,2023-12-13,1208,50,Headset HyperX,19,2413.26,Boleto,Pendente,SE
236,2024-01-20,787,3,Headset HyperX,10,2688.26,Cartão de Crédito,Pago,RJ
237,2024-08-12,1198,16,Notebook Dell,9,3259.27,Cartão de Crédito,Pago,AC
238,2024-11-02,1747,17,Notebook Dell,12,2981.41,Boleto,Cancelado,RS
239,2023-10-02,1289,17,Teclado Mecânico,14,991.46,PIX,Pendente,GO
240,2025-05-30,347,24,Headset HyperX,11,1748.45,PIX,Cancelado,AP
241,2024-07-18,1180,6,Teclado Mecânico,9,962.43,Cartão de Crédito,Cancelado,RS
242,2024-09-12,842,17,Headset HyperX,16,1784.54,Cartão de Crédito,Pendente,RJ
243,2024-07-31,976,46,"Monitor LG 24""",6,1469.77,Boleto,Pago,PR
244,2024-08-19,1937,11,HD Externo 1TB,9,1508.95,Boleto,Pago,
245,2024-08-04,721,43,Smartphone Samsung,12,4219.18,Boleto,Pendente,AP
246,2023-12-28,1093,46,Headset HyperX,18,248.77,PIX,Cancelado,GO
247,2025-03-09,884,38,Headset HyperX,14,502.22,Boleto,Pago,
248,2024-12-20,1235,39,"Monitor LG 24""",11,2630.01,Boleto,Pago,MS
249,2024-09-08,880,23,Pen Drive 64GB,13,3446.81,Boleto,Pendente,SP
250,2024-04-09,1597,14,Cadeira Gamer,16,3707.07,Transferência,Pago,PI
251,2025-03-22,1980,1,Notebook Dell,4,1017.41,Dinheiro,Cancelado,SE
252,2025-02-28,1329,35,Pen Drive 64GB,5,2813.94,Dinheiro,Pago,SE
253,2023-12-01,352,38,Headset HyperX,1,3242.83,Boleto,Cancelado,MT
254,2024-10-20,965,44,Impressora HP,11,3483.51,Transferência,Cancelado,AL
255,2025-08-13,759,37,Cadeira Gamer,18,698.05,Dinheiro,Pendente,SC
256,2024-11-10,1538,29,Headset HyperX,18,792.03,Dinheiro,Pendente,PR
257,2024-10-04,1468,12,HD Externo 1TB,18,3003.79,Dinheiro,Cancelado,CE
258,2025-06-04,1384,20,Mouse Logitech,5,1130.92,Cartão de Crédito,Pendente,RR
259,2024-02-18,261,4,HD Externo 1TB,3,3829.87,Transferência,Cancelado,BA
260,2025-05-30,1384,33,Pen Drive 64GB,14,1346.54,Dinheiro,Cancelado,RJ
261,2024-04-14,1284,41,Impressora HP,19,183.97,Cartão de Crédito,Pendente,RO
262,2024-03-14,288,45,Impressora HP,8,3061.52,Boleto,Pendente,PE
263,2024-01-28,1198,14,Impressora HP,4,4066.69,Boleto,Pago,SC
264,2024-08-20,786,36,Impressora HP,19,253.04,PIX,Cancelado,SP
265,2024-09-11,107,21,Cadeira Gamer,5,2377.56,PIX,Pendente,AL
266,2024-02-24,294,24,Mouse Logitech,6,347.58,Boleto,Cancelado,MG
267,2025-02-05,1932,9,Smartphone Samsung,6,871.19,Dinheiro,Pago,RS
268,2024-12-15,1917,14,Impressora HP,5,4283.35,Boleto,Pago,PA
269,2024-05-15,1981,36,Impressora HP,16,4183.8,PIX,Pendente,GO
270,2024-01-16,1776,8,Pen Drive 64GB,7,4810.86,Transferência,Pago,
271,2023-10-03,1543,36,Headset HyperX,9,1109.18,PIX,Pago,ES
272,2025-02-02,553,49,Cadeira Gamer,1,2164.66,PIX,Pendente,SC
273,2024-10-10,1273,6,Smartphone Samsung,3,4044.82,Boleto,Pago,PR
274,2024-09-05,782,48,Pen Drive 64GB,3,4648.48,Cartão de Crédito,Pago,MS
275,2025-04-30,165,23,Mouse Logitech,11,4394.55,PIX,Cancelado,MS
276,2025-04-21,481,21,Impressora HP,1,4339.8,Boleto,Cancelado,RO
277,2024-06-19,1535,47,HD Externo 1TB,18,2396.98,PIX,Pendente,SC
278,2023-10-31,1769,36,HD Externo 1TB,20,1658.63,Transferência,Cancelado,
279,2024-08-08,961,45,Notebook Dell,13,4449.68,PIX,Pago,
280,2025-06-05,1554,34,Smartphone Samsung,15,2776.72,PIX,Cancelado,RN
281,2024-03-27,812,44,Smartphone Samsung,13,1700.86,PIX,Pago,PA
282,2025-05-29,1212,45,"Monitor LG 24""",14,3781.68,Transferência,Pago,AP
283,2023-12-12,1589,48,Smartphone Samsung,3,2238.05,Dinheiro,Pago,BA
284,2024-12-27,1922,39,"Monitor LG 24""",5,167.5,Boleto,Pago,SP
285,2024-03-23,17,39,Pen Drive 64GB,6,3423.2,Cartão de Crédito,Cancelado,RO
286,2025-01-28,221,37,Mouse Logitech,17,2291.29,Boleto,Pendente,SE
287,2025-07-12,1539,49,Cadeira Gamer,8,1203.0,Cartão de Crédito,Pago,TO
288,2024-11-07,841,8,Teclado Mecânico,13,2620.48,Boleto,Pago,PE
289,2023-12-20,1959,32,Teclado Mecânico,2,2185.48,Transferência,Pendente,RJ
290,2024-10-06,1017,21,Mouse Logitech,17,118.75,PIX,Cancelado,RR
291,2023-10-25,1828,10,Notebook Dell,14,4108.18,Dinheiro,Cancelado,MA
292,2024-03-18,1330,50,Cadeira Gamer,4,4000.39,Transferência,Pago,MG
293,2023-11-29,328,19,Smartphone Samsung,16,3887.53,Boleto,Cancelado,RR
294,2024-11-04,1292,17,Pen Drive 64GB,18,4946.35,PIX,Pago,TO
295,2025-01-11,227,10,Headset HyperX,1,2137.0,Dinheiro,Pendente,MG
296,2024-06-06,1472,33,HD Externo 1TB,5,3204.93,Transferência,Pendente,RN
297,2024-05-09,1720,30,HD Externo 1TB,14,1915.43,Dinheiro,Cancelado,MG
298,2024-11-15,686,42,HD Externo 1TB,17,4952.56,Dinheiro,Pendente,PE
299,2024-04-02,1796,31,Pen Drive 64GB,17,579.04,PIX,Cancelado,RN
300,2024-02-12,1714,7,Notebook Dell,16,1005.06,Transferência,Pago,PB
301,2024-02-16,739,7,Pen Drive 64GB,15,1329.85,Dinheiro,Cancelado,AM
302,2024-07-25,477,17,Notebook Dell,15,1432.92,Transferência,Pago,
303,2024-11-12,1201,10,Cadeira Gamer,17,1543.09,Cartão de Crédito,Cancelado,PB
304,2025-03-02,1014,1,Teclado Mecânico,16,3646.26,Transferência,Pago,PB
305,2024-05-29,1097,3,Teclado Mecânico,19,4226.41,Boleto,Pendente,MS
306,2024-12-09,1583,3,Headset HyperX,13,558.62,PIX,Cancelado,MT
307,2024-10-29,1927,2,Notebook Dell,15,1574.78,PIX,Pendente,PI
308,2025-03-15,857,10,"Monitor LG 24""",18,1033.94,Cartão de Crédito,Pendente,PE
309,2025-01-17,828,29,Teclado Mecânico,6,1461.16,Transferência,Cancelado,SE
310,2024-10-11,801,5,Pen Drive 64GB,4,1440.89,Transferência,Pendente,SE
311,2024-06-28,1670,1,Headset HyperX,2,203.44,Boleto,Pago,BA
312,2024-05-27,1129,37,Teclado Mecânico,15,2303.37,Transferência,Pago,SP
313,2025-03-28,751,32,"Monitor LG 24""",14,4512.55,Cartão de Crédito,Pago,MG
314,2024-02-17,1500,47,Teclado Mecânico,10,4139.36,Boleto,Pago,RO
315,2025-04-19,1793,22,HD Externo 1TB,13,4455.17,Boleto,Pendente,SP
316,2024-03-07,1954,10,Mouse Logitech,7,2444.05,Boleto,Pendente,PI
317,2024-11-06,1013,30,Teclado Mecânico,16,2256.15,Boleto,Pendente,GO
